Subject,Method,Sensitivity,Sensitivity_1,Specificity,Accuracy,AUROC,Threshold,PredTime_sec
10030,Noisy,0.5,0.5,1,0.75,0.85,34.7333312009668,416
10034,Noisy,0,0,1,0.5,0.166666666666667,34.6532356236962,NaN
10042,Noisy,0,0,1,0.5,0.902777777777778,34.7333312009668,NaN
10047,Noisy,0,0,1,0.5,0.755555555555556,34.6532356236962,NaN
10048,Noisy,0.5,0.5,0.5,0.5,0.108333333333333,31.4815405019062,288
10049,Noisy,0,0,0,0,0.333333333333333,32.3291820267211,NaN
10052,Noisy,0.5,0.5,1,0.75,0.85,34.7333312009668,0
10053,Noisy,0.5,0.5,1,0.75,0.969444444444444,34.7333312009668,416
10054,Noisy,1,1,0,0.5,0.538461538461538,30.3668775668821,224
10055,Noisy,0,0,1,0.5,0.566666666666667,34.7333312009668,NaN
10057,Noisy,1,1,1,1,0.388888888888889,34.6532356236962,0
10058,Noisy,0,0,1,0.5,0.8,34.6532356236962,NaN
20001,Noisy,0,0,1,0.5,0.434375,34.7671488346751,NaN
20007,Noisy,1,1,1,1,1,34.6532356236962,256
20015,Noisy,0.5,0.5,1,0.75,0.233333333333333,34.7333312009668,32
20020,Noisy,0,0,1,0.5,0.933333333333333,34.6532356236962,NaN
20021,Noisy,1,1,1,1,0.933333333333333,34.6532356236962,32
20027,Noisy,1,1,0,0.5,0.711111111111111,34.3745647339238,448
20029,Noisy,0,0,0,0,0.2,32.3291820267211,NaN
20032,Noisy,1,1,0.5,0.75,0.405555555555556,31.4815405019062,368
20035,Noisy,1,1,1,1,0.933333333333333,34.6532356236962,448
20037,Noisy,1,1,1,1,0.977777777777778,34.7333312009668,448
20041,Noisy,1,1,0,0.5,0.65,34.1757842703818,224
20046,Noisy,0,0,0,0,0.444444444444444,34.3745647339238,NaN
20047,Noisy,0,0,1,0.5,0.766666666666667,34.6532356236962,NaN
20048,Noisy,0.5,0.5,1,0.75,0.861111111111111,34.7333312009668,192
20050,Noisy,1,1,1,1,0.977777777777778,34.7333312009668,448
20053,Noisy,0,0,1,0.5,1,34.7333312009668,NaN
20054,Noisy,0,0,1,0.5,0.427272727272727,34.7333312009668,NaN
20056,Noisy,0,0,1,0.5,1,34.6532356236962,NaN
10030,Ours,1,1,1,1,0.925,4.14078553113406,208
10034,Ours,1,1,1,1,1,4.09961056887859,288
10042,Ours,0,0,1,0.5,0.880555555555556,4.14078553113406,NaN
10047,Ours,1,1,1,1,0.933333333333333,4.09961056887859,416
10048,Ours,1,1,0,0.5,0.316666666666667,3.14606935256008,448
10049,Ours,1,1,1,1,1,4.09961056887859,448
10052,Ours,1,1,1,1,0.702777777777778,4.14078553113406,16
10053,Ours,0,0,1,0.5,1,4.14078553113406,NaN
10054,Ours,0,0,1,0.5,0.596153846153846,4.14078553113406,NaN
10055,Ours,0.5,0.5,1,0.75,0.8,4.14078553113406,0
10057,Ours,1,1,1,1,1,4.09961056887859,192
10058,Ours,0,0,1,0.5,0.966666666666667,4.09961056887859,NaN
20001,Ours,1,1,1,1,0.4,3.87888424848372,0
20007,Ours,1,1,1,1,1,4.09961056887859,448
20015,Ours,0,0,1,0.5,0.169444444444444,4.14078553113406,NaN
20020,Ours,1,1,1,1,0.988888888888889,4.09961056887859,64
20021,Ours,1,1,1,1,0.955555555555556,4.09961056887859,448
20027,Ours,1,1,1,1,1,4.09961056887859,448
20029,Ours,1,1,1,1,0.533333333333333,4.09961056887859,448
20032,Ours,0.5,0.5,0.5,0.5,0.525,3.70202079027256,448
20035,Ours,1,1,1,1,1,4.09961056887859,416
20037,Ours,1,1,0.5,0.75,0.947222222222222,3.80950589709979,448
20041,Ours,1,1,0.5,0.75,0.941666666666667,4.09961056887859,400
20046,Ours,0,0,0,0,0.833333333333333,4.09150839870951,NaN
20047,Ours,0,0,1,0.5,0.411111111111111,4.09961056887859,NaN
20048,Ours,0.5,0.5,0.5,0.5,0.825,4.09961056887859,448
20050,Ours,1,1,0.5,0.75,0.788888888888889,4.09150839870951,448
20053,Ours,1,1,1,1,1,4.14078553113406,448
20054,Ours,0.5,0.5,1,0.75,0.743181818181818,4.14078553113406,64
20056,Ours,1,1,1,1,1,4.09961056887859,0
10030,Filter,0.5,0.5,1,0.75,0.833333333333333,31.7000780356171,416
10034,Filter,0,0,0,0,0.166666666666667,30.485491158404,NaN
10042,Filter,0.5,0.5,1,0.75,0.891666666666667,31.7000780356171,0
10047,Filter,0,0,1,0.5,0.744444444444444,31.0558324529002,NaN
10048,Filter,0.5,0.5,0.5,0.5,0.113888888888889,29.783750789854,288
10049,Filter,1,1,0,0.5,0.333333333333333,29.783750789854,32
10052,Filter,0.5,0.5,1,0.75,0.822222222222222,31.7000780356171,0
10053,Filter,0,0,1,0.5,0.908333333333333,31.7000780356171,NaN
10054,Filter,1,1,1,1,0.461538461538462,29.783750789854,224
10055,Filter,0,0,1,0.5,0.5,31.7000780356171,NaN
10057,Filter,1,1,1,1,0.233333333333333,31.0558324529002,0
10058,Filter,0,0,1,0.5,0.677777777777778,31.0558324529002,NaN
20001,Filter,0,0,1,0.5,0.446875,33.810839703409,NaN
20007,Filter,1,1,1,1,1,31.0558324529002,256
20015,Filter,0.5,0.5,1,0.75,0.230555555555556,31.7000780356171,32
20020,Filter,0,0,1,0.5,0.988888888888889,31.0558324529002,NaN
20021,Filter,1,1,1,1,0.933333333333333,31.0558324529002,32
20027,Filter,1,1,0,0.5,0.744444444444444,30.6510767599961,448
20029,Filter,0,0,0,0,0.166666666666667,29.783750789854,NaN
20032,Filter,1,1,0.5,0.75,0.427777777777778,29.5459094121727,368
20035,Filter,1,1,1,1,0.922222222222222,31.0558324529002,448
20037,Filter,1,1,1,1,0.969444444444444,31.7000780356171,448
20041,Filter,1,1,0,0.5,0.652777777777778,30.485491158404,224
20046,Filter,0,0,1,0.5,0.355555555555556,31.0558324529002,NaN
20047,Filter,0,0,1,0.5,0.755555555555556,31.0558324529002,NaN
20048,Filter,0.5,0.5,1,0.75,0.816666666666667,31.7000780356171,192
20050,Filter,1,1,1,1,0.977777777777778,31.7000780356171,448
20053,Filter,0,0,1,0.5,1,31.7000780356171,NaN
20054,Filter,0,0,1,0.5,0.513636363636364,31.7000780356171,NaN
20056,Filter,0,0,1,0.5,0.966666666666667,31.0558324529002,NaN
10030,Wavelet,0.5,0.5,1,0.75,0.994444444444444,3.89870166787183,416
10034,Wavelet,1,1,1,1,1,3.80815922567617,384
10042,Wavelet,0,0,1,0.5,0.938888888888889,3.89870166787183,NaN
10047,Wavelet,0,0,1,0.5,0.677777777777778,3.80815922567617,NaN
10048,Wavelet,1,1,0,0.5,0.169444444444444,3.26121766472647,448
10049,Wavelet,1,1,1,1,1,3.80815922567617,416
10052,Wavelet,0.5,0.5,1,0.75,0.666666666666667,3.89870166787183,32
10053,Wavelet,0,0,1,0.5,0.972222222222222,3.89870166787183,NaN
10054,Wavelet,1,1,1,1,0.538461538461538,3.66018810655644,224
10055,Wavelet,0.5,0.5,1,0.75,0.716666666666667,3.89870166787183,32
10057,Wavelet,1,1,1,1,0.866666666666667,3.80815922567617,192
10058,Wavelet,0,0,1,0.5,0.988888888888889,3.80815922567617,NaN
20001,Wavelet,0.5,0.5,1,0.75,0.328125,3.89870166787183,0
20007,Wavelet,1,1,1,1,1,3.80815922567617,448
20015,Wavelet,0,0,1,0.5,0.186111111111111,3.89870166787183,NaN
