Subject,Method,Sensitivity,Sensitivity_1,Specificity,Accuracy,AUROC,Threshold,PredTime_sec
10030,Noisy,0.5,0.5,1,0.75,0.936111111111111,2.32906130653916,416
10034,Noisy,0,0,1,0.5,0.422222222222222,2.28207750897587,NaN
10042,Noisy,0,0,1,0.5,0.872222222222222,2.32906130653916,NaN
10047,Noisy,0,0,1,0.5,0.8,2.28207750897587,NaN
10048,Noisy,1,1,0,0.5,0.119444444444444,1.83599718534537,160
10049,Noisy,1,1,0,0.5,0.4,2.08681920378376,96
10052,Noisy,0.5,0.5,1,0.75,0.725,2.32906130653916,0
10053,Noisy,0.5,0.5,1,0.75,0.963888888888889,2.32906130653916,448
10054,Noisy,1,1,1,1,0.442307692307692,2.08681920378376,0
10055,Noisy,0,0,1,0.5,0.594444444444444,2.32906130653916,NaN
10057,Noisy,1,1,1,1,0.533333333333333,2.28207750897587,32
10058,Noisy,0,0,1,0.5,0.877777777777778,2.28207750897587,NaN
20001,Noisy,0.5,0.5,1,0.75,0.378125,2.40548181370935,0
20007,Noisy,1,1,1,1,1,2.28207750897587,448
20015,Noisy,0.5,0.5,1,0.75,0.208333333333333,2.32906130653916,32
20020,Noisy,0,0,1,0.5,1,2.28207750897587,NaN
20021,Noisy,1,1,1,1,0.988888888888889,2.28207750897587,448
20027,Noisy,1,1,0,0.5,0.777777777777778,2.14595810478417,448
20029,Noisy,0,0,1,0.5,0.244444444444444,2.28207750897587,NaN
20032,Noisy,1,1,0.5,0.75,0.397222222222222,2.0455496321217,224
20035,Noisy,1,1,1,1,0.977777777777778,2.28207750897587,448
20037,Noisy,1,1,0.5,0.75,0.972222222222222,2.27565928523576,448
20041,Noisy,1,1,1,1,0.786111111111111,2.32906130653916,224
20046,Noisy,0,0,0,0,0.788888888888889,2.27565928523576,NaN
20047,Noisy,0,0,1,0.5,0.811111111111111,2.28207750897587,NaN
20048,Noisy,1,1,1,1,0.922222222222222,2.32906130653916,304
20050,Noisy,1,1,1,1,0.966666666666667,2.32906130653916,432
20053,Noisy,1,1,1,1,1,2.32906130653916,448
20054,Noisy,0,0,1,0.5,0.647727272727273,2.32906130653916,NaN
20056,Noisy,0,0,1,0.5,0.988888888888889,2.28207750897587,NaN
10030,Ours,0.5,0.5,1,0.75,0.958333333333333,0.734258655995705,416
10034,Ours,1,1,1,1,1,0.728638736582774,416
10042,Ours,0.5,0.5,1,0.75,0.888888888888889,0.734258655995705,384
10047,Ours,0,0,1,0.5,0.8,0.728638736582774,NaN
10048,Ours,1,1,0,0.5,0.241666666666667,0.578358167197953,448
10049,Ours,1,1,1,1,1,0.728638736582774,448
10052,Ours,1,1,1,1,0.569444444444444,0.734258655995705,16
10053,Ours,0,0,1,0.5,1,0.734258655995705,NaN
10054,Ours,1,1,1,1,0.576923076923077,0.734258655995705,0
10055,Ours,1,1,1,1,0.772222222222222,0.734258655995705,16
10057,Ours,1,1,1,1,0.955555555555556,0.728638736582774,192
10058,Ours,0,0,1,0.5,0.955555555555556,0.728638736582774,NaN
20001,Ours,1,1,1,1,0.328125,0.673505349273537,0
20007,Ours,1,1,1,1,1,0.728638736582774,448
20015,Ours,0,0,1,0.5,0.211111111111111,0.734258655995705,NaN
20020,Ours,1,1,1,1,0.977777777777778,0.728638736582774,64
20021,Ours,1,1,1,1,0.911111111111111,0.728638736582774,448
20027,Ours,1,1,1,1,1,0.728638736582774,448
20029,Ours,1,1,1,1,0.588888888888889,0.728638736582774,448
20032,Ours,1,1,0.5,0.75,0.530555555555556,0.673505349273537,224
20035,Ours,1,1,1,1,1,0.728638736582774,416
20037,Ours,1,1,0.5,0.75,0.916666666666667,0.717147173273995,448
20041,Ours,1,1,1,1,1,0.734258655995705,352
20046,Ours,1,1,0,0.5,0.833333333333333,0.723460390769456,320
20047,Ours,0,0,1,0.5,0.411111111111111,0.728638736582774,NaN
20048,Ours,0.5,0.5,1,0.75,0.886111111111111,0.734258655995705,448
20050,Ours,1,1,0.5,0.75,0.791666666666667,0.722673450686835,448
20053,Ours,1,1,0.5,0.75,1,0.728638736582774,448
20054,Ours,0.5,0.5,1,0.75,0.713636363636364,0.734258655995705,64
